count,emp_no
3,270482
3,290836
3,36760
3,96599
3,95860
3,17125
3,287063
3,72905
3,283415
3,100358
3,95200
3,41907
3,55914
3,48376
3,276683
3,74058
3,263448
3,252543
3,207208
3,276694
3,78779
3,201381
3,233647
3,37064
3,61197
3,61722
3,216860
3,263468
3,10451
3,87448
3,269188
3,29475
3,23561
3,255989
3,92117
3,11027
3,94582
3,98171
3,205266
3,66202
3,107249
3,38416
3,248129
3,39587
3,102937
3,29917
3,243114
3,97355
3,280118
3,225719
3,33115
3,264848
3,202145
3,53712
3,280133
3,234347
3,259613
3,24140
3,53719
3,25138
3,216238
3,250272
3,233010
3,68111
3,249237
3,280165
3,248154
3,59322
3,203318
3,204645
3,37567
3,82388
3,68798
3,234366
3,287271
3,105515
3,63399
3,23969
3,40244
3,73099
3,87483
3,73880
3,85609
3,75504
3,34231
3,233040
3,51149
3,37074
3,259689
3,70465
3,215966
3,94625
3,215008
3,219920
3,61782
3,209981
3,252680
3,87504
3,11106
3,92770
3,72923
3,280238
3,21206
3,240344
3,242250
3,77245
3,51166
3,67477
3,87043
3,103876
3,239443
3,204560
3,213310
3,255018
3,68233
3,233783
3,56626
3,272281
3,269399
3,222339
3,209997
3,18933
3,224199
3,31404
3,48405
3,99804
3,259787
3,88143
3,82835
3,217299
3,96728
3,285572
3,24072
3,257441
3,15753
3,84707
3,80233
3,100516
3,203898
3,94704
3,70956
3,247318
3,76265
3,92819
3,249417
3,283855
3,289380
3,244187
3,280371
3,103938
3,103939
3,204747
3,86097
3,236856
3,19406
3,291324
3,39917
3,10628
3,247338
3,21321
3,107425
3,291332
3,244229
3,258669
3,273935
3,36303
3,280430
3,37103
3,17950
3,210229
3,216643
3,209751
3,236019
3,278828
3,39787
3,28149
3,233147
3,13535
3,73539
3,247391
3,236906
3,239556
3,15767
3,247400
3,102320
3,48671
3,282153
3,269552
3,47821
3,15867
3,277156
3,209322
3,268139
3,208947
3,231848
3,88227
3,80268
3,284010
3,235267
3,66921
3,37120
3,289546
3,18980
3,54528
3,242429
3,106582
3,12601
3,35790
3,24560
3,62427
3,72213
3,10066
3,37635
3,12206
3,284056
3,274044
3,38719
3,263925
3,64510
3,58125
3,208256
3,262566
3,213367
3,245384
3,54830
3,48243
3,80998
3,209337
3,19029
3,36340
3,214788
3,280615
3,86690
3,79567
3,239642
3,70530
3,71901
3,237806
3,282309
3,45318
3,231895
3,289701
3,225896
3,287809
3,224288
3,262623
3,237831
3,54858
3,205924
3,21908
3,68964
3,106645
3,31802
3,76022
3,224837
3,289746
3,85295
3,258861
3,11064
3,277353
3,36871
3,98445
3,73161
3,274179
3,15324
3,105786
3,287877
3,284197
3,248554
3,221600
3,253047
3,225382
3,49383
3,59488
3,48028
3,28478
3,64130
3,209163
3,39252
3,30856
3,64278
3,266773
3,39501
3,75567
3,31328
3,228285
3,37664
3,258915
3,28838
3,41983
3,40484
3,88830
3,236190
3,275811
3,17816
3,22481
3,217062
3,271210
3,282508
3,236203
3,209179
3,291756
3,257793
3,258944
3,245540
3,44943
3,10634
3,14632
3,48043
3,83822
3,269800
3,231386
3,45336
3,226526
3,27403
3,45788
3,291796
3,77988
3,92983
3,78940
3,47224
3,215747
3,205528
3,256611
3,237971
3,262842
3,257850
3,33018
3,88346
3,227713
3,29661
3,13332
3,269865
3,37413
3,83432
3,32455
3,65605
3,279300
3,89444
3,222910
3,286260
3,255446
3,91204
3,225995
3,217081
3,37424
3,257888
3,242678
3,224920
3,57071
3,228973
3,207676
3,218598
3,271376
3,37164
3,26019
3,282713
3,80056
3,245642
3,223397
3,259080
3,90061
3,81376
3,81068
3,202750
3,274463
3,286363
3,54923
3,66226
3,237193
3,73222
3,16077
3,16272
3,85377
3,106847
3,70552
3,108777
3,236328
3,250934
3,284559
3,244654
3,290158
3,236329
3,223406
3,264311
3,244664
3,268624
3,100920
3,230895
3,202179
3,257988
3,69835
3,105095
3,107800
3,292062
3,223927
3,78652
3,64177
3,91270
3,95647
3,260427
3,64657
3,281084
3,40321
3,69697
3,253359
3,35618
3,233451
3,267179
3,290251
3,237263
3,27096
3,252224
3,11951
3,286515
3,43996
3,100960
3,80790
3,108841
3,107825
3,217870
3,279504
3,100964
3,210114
3,38608
3,36109
3,256821
3,256823
3,202686
3,229049
3,18468
3,30454
3,29520
3,98687
3,264415
3,10009
3,80092
3,68673
3,260529
3,33787
3,47094
3,277892
3,264446
3,56163
3,281213
3,249924
3,106981
3,223970
3,39113
3,74922
3,16086
3,239094
3,95003
3,204961
3,13250
3,75643
3,12626
3,288456
3,274729
3,292301
3,222550
3,106994
3,284783
3,15876
3,53592
3,56502
3,89006
3,236441
3,258140
3,234862
3,31604
3,38879
3,204877
3,80456
3,67967
3,247919
3,251108
3,21547
3,37478
3,276327
3,83934
3,45637
3,83106
3,96444
3,56187
3,225575
3,212653
3,238245
3,209033
3,284874
3,28631
3,15651
3,283115
3,11294
3,254625
3,106113
3,60711
3,90778
3,208877
3,222159
3,290536
3,267387
3,239163
3,47120
3,54685
3,256969
3,219007
3,11322
3,44229
3,74699
3,68063
3,267425
3,240083
3,203013
3,71345
3,279753
3,25290
3,252419
3,32053
3,292494
3,109010
3,83580
3,273276
3,56839
3,68068
3,110386
3,290616
3,110765
3,292524
3,226693
3,33818
3,286847
3,89043
3,28798
3,218675
3,237395
3,11380
3,44575
3,233572
3,92016
3,92667
3,279801
3,51724
3,83584
3,226703
3,54385
3,288721
3,257052
3,74233
3,205876
3,264662
3,95147
3,230468
3,35226
3,237417
3,278189
3,214921
3,103659
3,219431
3,106206
3,25429
3,273352
3,12069
3,243005
3,10258
3,259457
3,41313
3,250129
3,211307
3,257097
3,86446
3,207190
3,273398
3,48591
3,39534
3,201148
3,270416
3,24991
3,66869
3,204810
3,221398
3,260810
3,70919
3,73072
3,33109
3,223565
3,221801
3,89744
3,271953
3,249121
3,214954
3,271968
3,21548
3,26846
3,401843
3,458235
3,494969
3,443592
3,480584
3,407970
3,478687
3,411424
3,495925
3,472066
3,437421
3,451113
3,467357
3,483381
3,444957
3,447300
3,419726
3,491309
3,415320
3,422304
3,477013
3,458238
3,417407
3,406737
3,462622
3,440116
3,472096
3,468043
3,458398
3,439798
3,461936
3,497081
3,444505
3,489674
3,439115
3,468436
3,461711
3,493136
3,419324
3,423893
3,465832
3,461022
3,468449
3,498118
3,402017
3,432256
3,438536
3,423272
3,461027
3,431691
3,465561
3,488057
3,424576
3,475946
3,479432
3,440812
3,411484
3,418659
3,436694
3,438544
3,465246
3,453360
3,458058
3,466134
3,496108
3,463687
3,415791
3,292800
3,415904
3,415055
3,489782
3,459890
3,499169
3,478191
3,422340
3,475039
3,463444
3,440183
3,453241
3,407745
3,417436
3,482835
3,431556
3,467443
3,494219
3,497230
3,479502
3,485846
3,488177
3,488180
3,421552
3,462403
3,417555
3,433848
3,296599
3,295938
3,412830
3,406325
3,455258
3,413911
3,413140
3,455098
3,492428
3,463978
3,296186
3,441708
3,460274
3,456183
3,491547
3,466784
3,494301
3,467472
3,421577
3,416979
3,428620
3,444641
3,471391
3,489909
3,477186
3,482216
3,445534
3,494327
3,491570
3,406336
3,468160
3,489931
3,401785
3,294184
3,415924
3,424331
3,475599
3,294282
3,409694
3,440250
3,486690
3,442886
3,459396
3,457939
3,459061
3,422423
3,495364
3,429219
3,436209
3,497431
3,433880
3,461096
3,437539
3,488338
3,488339
3,447512
3,451744
3,412345
3,471017
3,493448
3,496398
3,402159
3,494443
3,404433
3,409738
3,417181
3,417751
3,494473
3,481588
3,436002
3,405431
3,494483
3,498482
3,463524
3,495428
3,299327
3,404712
3,456089
3,431978
3,479669
3,412109
3,439998
3,401720
3,484447
3,423084
3,299091
3,410029
3,456906
3,439289
3,411897
3,499548
3,408934
3,493550
3,448632
3,440290
3,453214
3,497559
3,460323
3,421358
